KLNCIT/ECE/01,Linear Integrated Circuits,Bakshi,Technical
KLNCIT/ECE/02,Signals and Systems,S.Badmavathy Girivasan,Anuradha
KLNCIT/ECE/03,Basic Electrical; Electronics; Computer Communication Engineering,Chandragupta,Anuradha
KLNCIT/ECE/04,Electronics Devices and Circuits,K.S.Srinivasan,Anuradha
KLNCIT/ECE/05,Linear Integrated Circuits (P.K),Bakshi,Technical
KLNCIT/ECE/06,Digital DSD,A.P.Godse,
KLNCIT/ECE/07,Signals and Systems,J.S.Chitode,Technical
KLNCIT/ECE/08,Principles and Communications (G.K),K.S.Srinivasan,Selva
KLNCIT/ECE/09,B.E/E&I/III semester-2Marks,,Pratheeba
KLNCIT/ECE/10,Electronic Devices,K.Srinivasan,Anuradha
KLNCIT/ECE/11,B.E/ECE/3rd; EC-II-2Marks,,Anuradha
KLNCIT/ECE/12,Linear Integrated Circuits,T.Mahadevan,Assan
KLNCIT/ECE/13,Professional ethics,S.Rajavelu,
KLNCIT/ECE/14,Measurement & Instrumentation,U.A.Bakshi,
KLNCIT/ECE/15,Communication Theory,K.S.Srinivasan,
KLNCIT/ECE/16,8085; 8086 ‘P and 8051‘C,R.Latha; S.Sakthivel,
KLNCIT/ECE/17,Digital System Design,Godse,Technical
KLNCIT/ECE/18,Communication and Engineering (J.Manoj Ex.Final Year),T.Mahadevan,Assan
KLNCIT/ECE/19,Electronic Engineering (R.Amutha),T.Mahadevan,Assan
KLNCIT/ECE/20,Tele Communication Switching Technique,T.Mahadevan,Assan
KLNCIT/ECE/21,Electronic Circuits-II,T.Mahaedvan,Assan
KLNCIT/ECE/22,Electronic Devices and Circuits,T.Mahadevan,Assan
KLNCIT/ECE/23,Digital Electronics,T.Mahadevan,Assan
KLNCIT/ECE/24,Electronics Devices(ECE; EEE),T.Mahadevan,Anuradha
KLNCIT/ECE/25,Digital Electronics,Godse,Technical Publication
KLNCIT/ECE/26,Electronic Circuits-II,Godse & Bakshi,Technical
KLNCIT/ECE/27,Micro Processor & Micro Controller Applience,R.Mahadevan,Assan
KLNCIT/ECE/28,P/C Applience (IV Sem),G.Lavanya Daniel,
KLNCIT/ECE/29,Professional ethics,,
KLNCIT/ECE/30,Signals and System,K.Murugesan,Anuradha
KLNCIT/ECE/31,Measurement and Instrumentation,U.A.Bakshi; A.V.bakshi,Technical
KLNCIT/ECE/32,B.E. ECE/3rd Sem 2Marks; N/W Analysis & S,U.A.Bakshi; A.V.bakshi,Technical
